ReportDt|Unit|Power
06/04/2020|Perry 1|100
06/04/2020|Point Beach 1|100
06/04/2020|Point Beach 2|100
06/04/2020|Prairie Island 1|100
06/04/2020|Prairie Island 2|100
06/04/2020|Quad Cities 1|100
06/04/2020|Quad Cities 2|100
06/04/2020|River Bend Station 1|100
06/04/2020|Robinson 2|100
06/04/2020|Saint Lucie 1|100
06/04/2020|Saint Lucie 2|100
06/04/2020|Salem 1|100
06/04/2020|Salem 2|98
06/04/2020|Seabrook 1|100
06/04/2020|Sequoyah 1|100
06/04/2020|Sequoyah 2|100
06/04/2020|South Texas 1|100
06/04/2020|South Texas 2|100
06/04/2020|Summer|100
06/04/2020|Surry 1|100
06/04/2020|Surry 2|28
06/04/2020|Susquehanna 1|99
06/04/2020|Susquehanna 2|100
06/04/2020|Three Mile Island 1|0
06/04/2020|Turkey Point 3|100
06/04/2020|Turkey Point 4|100
06/04/2020|Vogtle 1|100
06/04/2020|Vogtle 2|100
06/04/2020|Waterford 3|100
06/04/2020|Watts Bar 1|2
06/04/2020|Watts Bar 2|100
06/04/2020|Wolf Creek 1|100
06/03/2020|Arkansas Nuclear 1|100
06/03/2020|Arkansas Nuclear 2|75
06/03/2020|Beaver Valley 1|100
06/03/2020|Beaver Valley 2|100
06/03/2020|Braidwood 1|100
06/03/2020|Braidwood 2|100
06/03/2020|Browns Ferry 1|100
06/03/2020|Browns Ferry 2|85
06/03/2020|Browns Ferry 3|100
06/03/2020|Brunswick 1|100
06/03/2020|Brunswick 2|100
06/03/2020|Byron 1|100
06/03/2020|Byron 2|100
06/03/2020|Callaway|100
06/03/2020|Calvert Cliffs 1|100
06/03/2020|Calvert Cliffs 2|100
06/03/2020|Catawba 1|88
06/03/2020|Catawba 2|100
06/03/2020|Clinton|99
06/03/2020|Columbia Generating Station|65
06/03/2020|Comanche Peak 1|100
06/03/2020|Comanche Peak 2|100
06/03/2020|Cooper|100
06/03/2020|D.C. Cook 1|100
06/03/2020|D.C. Cook 2|100
06/03/2020|Davis-Besse|100
06/03/2020|Diablo Canyon 1|100
06/03/2020|Diablo Canyon 2|100
06/03/2020|Dresden 2|100
06/03/2020|Dresden 3|100
06/03/2020|Duane Arnold|70
06/03/2020|Farley 1|100
06/03/2020|Farley 2|100
06/03/2020|Fermi 2|0
06/03/2020|FitzPatrick|100
06/03/2020|Ginna|100
06/03/2020|Grand Gulf 1|19
06/03/2020|Harris 1|100
06/03/2020|Hatch 1|100
06/03/2020|Hatch 2|100
06/03/2020|Hope Creek 1|100
06/03/2020|Indian Point 2|0
06/03/2020|Indian Point 3|100
06/03/2020|LaSalle 1|100
06/03/2020|LaSalle 2|100
06/03/2020|Limerick 1|100
06/03/2020|Limerick 2|100
06/03/2020|McGuire 1|100
06/03/2020|McGuire 2|100
06/03/2020|Millstone 2|0
06/03/2020|Millstone 3|100
06/03/2020|Monticello|100
06/03/2020|Nine Mile Point 1|100
06/03/2020|Nine Mile Point 2|100
06/03/2020|North Anna 1|88
06/03/2020|North Anna 2|99
06/03/2020|Oconee 1|100
06/03/2020|Oconee 2|100
06/03/2020|Oconee 3|100
06/03/2020|Palisades|100
06/03/2020|Palo Verde 1|100
06/03/2020|Palo Verde 2|100
06/03/2020|Palo Verde 3|100
06/03/2020|Peach Bottom 2|100
06/03/2020|Peach Bottom 3|100
06/03/2020|Perry 1|98
06/03/2020|Point Beach 1|100
06/03/2020|Point Beach 2|100
06/03/2020|Prairie Island 1|100
06/03/2020|Prairie Island 2|100
06/03/2020|Quad Cities 1|100
06/03/2020|Quad Cities 2|100
06/03/2020|River Bend Station 1|100
06/03/2020|Robinson 2|100
06/03/2020|Saint Lucie 1|100
06/03/2020|Saint Lucie 2|100
06/03/2020|Salem 1|100
06/03/2020|Salem 2|98
06/03/2020|Seabrook 1|100
06/03/2020|Sequoyah 1|100
06/03/2020|Sequoyah 2|100
06/03/2020|South Texas 1|100
06/03/2020|South Texas 2|100
06/03/2020|Summer|100
06/03/2020|Surry 1|100
06/03/2020|Surry 2|0
06/03/2020|Susquehanna 1|99
06/03/2020|Susquehanna 2|100
06/03/2020|Three Mile Island 1|0
06/03/2020|Turkey Point 3|100
06/03/2020|Turkey Point 4|100
06/03/2020|Vogtle 1|100
06/03/2020|Vogtle 2|100
06/03/2020|Waterford 3|100
06/03/2020|Watts Bar 1|0
06/03/2020|Watts Bar 2|100
06/03/2020|Wolf Creek 1|100
06/02/2020|Arkansas Nuclear 1|100
06/02/2020|Arkansas Nuclear 2|75
06/02/2020|Beaver Valley 1|100
06/02/2020|Beaver Valley 2|100
06/02/2020|Braidwood 1|100
06/02/2020|Braidwood 2|100
06/02/2020|Browns Ferry 1|100
06/02/2020|Browns Ferry 2|86
06/02/2020|Browns Ferry 3|100
06/02/2020|Brunswick 1|100
06/02/2020|Brunswick 2|90
06/02/2020|Byron 1|100
06/02/2020|Byron 2|100
06/02/2020|Callaway|100
06/02/2020|Calvert Cliffs 1|100
06/02/2020|Calvert Cliffs 2|100
06/02/2020|Catawba 1|60
06/02/2020|Catawba 2|100
06/02/2020|Clinton|90
06/02/2020|Columbia Generating Station|65
06/02/2020|Comanche Peak 1|100
06/02/2020|Comanche Peak 2|100
06/02/2020|Cooper|100
06/02/2020|D.C. Cook 1|100
06/02/2020|D.C. Cook 2|100
06/02/2020|Davis-Besse|100
06/02/2020|Diablo Canyon 1|100
06/02/2020|Diablo Canyon 2|100
06/02/2020|Dresden 2|100
06/02/2020|Dresden 3|100
06/02/2020|Duane Arnold|70
06/02/2020|Farley 1|100
06/02/2020|Farley 2|100
06/02/2020|Fermi 2|0
06/02/2020|FitzPatrick|100
06/02/2020|Ginna|100
06/02/2020|Grand Gulf 1|15
06/02/2020|Harris 1|100
06/02/2020|Hatch 1|100
06/02/2020|Hatch 2|100
06/02/2020|Hope Creek 1|100
06/02/2020|Indian Point 2|0
06/02/2020|Indian Point 3|100
06/02/2020|LaSalle 1|100
06/02/2020|LaSalle 2|100
06/02/2020|Limerick 1|100
06/02/2020|Limerick 2|100
06/02/2020|McGuire 1|100
06/02/2020|McGuire 2|100
06/02/2020|Millstone 2|0
06/02/2020|Millstone 3|100
06/02/2020|Monticello|90
06/02/2020|Nine Mile Point 1|100
06/02/2020|Nine Mile Point 2|100
06/02/2020|North Anna 1|100
06/02/2020|North Anna 2|99
06/02/2020|Oconee 1|100
06/02/2020|Oconee 2|100
06/02/2020|Oconee 3|100
06/02/2020|Palisades|100
06/02/2020|Palo Verde 1|100
06/02/2020|Palo Verde 2|100
06/02/2020|Palo Verde 3|100
06/02/2020|Peach Bottom 2|100
06/02/2020|Peach Bottom 3|100
06/02/2020|Perry 1|100
06/02/2020|Point Beach 1|100
06/02/2020|Point Beach 2|100
06/02/2020|Prairie Island 1|100
06/02/2020|Prairie Island 2|79
06/02/2020|Quad Cities 1|100
06/02/2020|Quad Cities 2|100
06/02/2020|River Bend Station 1|100
06/02/2020|Robinson 2|100
06/02/2020|Saint Lucie 1|100
06/02/2020|Saint Lucie 2|100
06/02/2020|Salem 1|100
06/02/2020|Salem 2|99
06/02/2020|Seabrook 1|100
06/02/2020|Sequoyah 1|100
06/02/2020|Sequoyah 2|100
06/02/2020|South Texas 1|100
06/02/2020|South Texas 2|100
06/02/2020|Summer|100
06/02/2020|Surry 1|100
06/02/2020|Surry 2|0
06/02/2020|Susquehanna 1|98
06/02/2020|Susquehanna 2|99
06/02/2020|Three Mile Island 1|0
06/02/2020|Turkey Point 3|100
06/02/2020|Turkey Point 4|100
06/02/2020|Vogtle 1|100
06/02/2020|Vogtle 2|100
06/02/2020|Waterford 3|100
06/02/2020|Watts Bar 1|0
06/02/2020|Watts Bar 2|45
06/02/2020|Wolf Creek 1|100
06/01/2020|Arkansas Nuclear 1|77
06/01/2020|Arkansas Nuclear 2|100
06/01/2020|Beaver Valley 1|100
06/01/2020|Beaver Valley 2|100
06/01/2020|Braidwood 1|100
06/01/2020|Braidwood 2|100
06/01/2020|Browns Ferry 1|100
06/01/2020|Browns Ferry 2|87
06/01/2020|Browns Ferry 3|100
06/01/2020|Brunswick 1|100
06/01/2020|Brunswick 2|100
06/01/2020|Byron 1|100
06/01/2020|Byron 2|100
06/01/2020|Callaway|100
06/01/2020|Calvert Cliffs 1|100
06/01/2020|Calvert Cliffs 2|100
06/01/2020|Catawba 1|18
06/01/2020|Catawba 2|100
06/01/2020|Clinton|99
06/01/2020|Columbia Generating Station|65
06/01/2020|Comanche Peak 1|100
06/01/2020|Comanche Peak 2|100
06/01/2020|Cooper|100
06/01/2020|D.C. Cook 1|100
06/01/2020|D.C. Cook 2|100
06/01/2020|Davis-Besse|100
06/01/2020|Diablo Canyon 1|100
06/01/2020|Diablo Canyon 2|100
06/01/2020|Dresden 2|100
06/01/2020|Dresden 3|100
06/01/2020|Duane Arnold|70
06/01/2020|Farley 1|100
06/01/2020|Farley 2|100
06/01/2020|Fermi 2|0
06/01/2020|FitzPatrick|100
06/01/2020|Ginna|100
06/01/2020|Grand Gulf 1|12
06/01/2020|Harris 1|100
06/01/2020|Hatch 1|98
06/01/2020|Hatch 2|100
06/01/2020|Hope Creek 1|100
06/01/2020|Indian Point 2|0
06/01/2020|Indian Point 3|100
06/01/2020|LaSalle 1|100
06/01/2020|LaSalle 2|100
06/01/2020|Limerick 1|99
06/01/2020|Limerick 2|100
06/01/2020|McGuire 1|100
06/01/2020|McGuire 2|100
06/01/2020|Millstone 2|0
06/01/2020|Millstone 3|100
06/01/2020|Monticello|100
06/01/2020|Nine Mile Point 1|100
06/01/2020|Nine Mile Point 2|100
06/01/2020|North Anna 1|100
06/01/2020|North Anna 2|99
06/01/2020|Oconee 1|100
06/01/2020|Oconee 2|100
06/01/2020|Oconee 3|100
06/01/2020|Palisades|100
06/01/2020|Palo Verde 1|100
06/01/2020|Palo Verde 2|100
06/01/2020|Palo Verde 3|100
06/01/2020|Peach Bottom 2|100
06/01/2020|Peach Bottom 3|100
06/01/2020|Perry 1|100
06/01/2020|Point Beach 1|100
06/01/2020|Point Beach 2|100
06/01/2020|Prairie Island 1|100
06/01/2020|Prairie Island 2|78
06/01/2020|Quad Cities 1|100
06/01/2020|Quad Cities 2|85
06/01/2020|River Bend Station 1|100
06/01/2020|Robinson 2|100
06/01/2020|Saint Lucie 1|100
06/01/2020|Saint Lucie 2|100
06/01/2020|Salem 1|100
06/01/2020|Salem 2|98
06/01/2020|Seabrook 1|33
06/01/2020|Sequoyah 1|100
06/01/2020|Sequoyah 2|100
06/01/2020|South Texas 1|100
06/01/2020|South Texas 2|100
06/01/2020|Summer|100
06/01/2020|Surry 1|100
06/01/2020|Surry 2|0
06/01/2020|Susquehanna 1|98
06/01/2020|Susquehanna 2|98
06/01/2020|Three Mile Island 1|0
06/01/2020|Turkey Point 3|100
06/01/2020|Turkey Point 4|100
06/01/2020|Vogtle 1|100
06/01/2020|Vogtle 2|100
06/01/2020|Waterford 3|100
06/01/2020|Watts Bar 1|0
06/01/2020|Watts Bar 2|2
06/01/2020|Wolf Creek 1|100
05/31/2020|Arkansas Nuclear 1|100
05/31/2020|Arkansas Nuclear 2|100
05/31/2020|Beaver Valley 1|100
05/31/2020|Beaver Valley 2|100
05/31/2020|Braidwood 1|100
05/31/2020|Braidwood 2|100
05/31/2020|Browns Ferry 1|100
05/31/2020|Browns Ferry 2|87
05/31/2020|Browns Ferry 3|100
05/31/2020|Brunswick 1|100
05/31/2020|Brunswick 2|88
05/31/2020|Byron 1|100
05/31/2020|Byron 2|100
05/31/2020|Callaway|100
05/31/2020|Calvert Cliffs 1|100
05/31/2020|Calvert Cliffs 2|100
05/31/2020|Catawba 1|0
05/31/2020|Catawba 2|100
05/31/2020|Clinton|75
05/31/2020|Columbia Generating Station|67
05/31/2020|Comanche Peak 1|100
05/31/2020|Comanche Peak 2|100
05/31/2020|Cooper|100
05/31/2020|D.C. Cook 1|100
05/31/2020|D.C. Cook 2|100
05/31/2020|Davis-Besse|100
05/31/2020|Diablo Canyon 1|100
05/31/2020|Diablo Canyon 2|100
05/31/2020|Dresden 2|100
05/31/2020|Dresden 3|100
05/31/2020|Duane Arnold|70
05/31/2020|Farley 1|100
05/31/2020|Farley 2|100
05/31/2020|Fermi 2|0
05/31/2020|FitzPatrick|100
05/31/2020|Ginna|100
05/31/2020|Grand Gulf 1|3
05/31/2020|Harris 1|100
05/31/2020|Hatch 1|100
05/31/2020|Hatch 2|83
05/31/2020|Hope Creek 1|100
05/31/2020|Indian Point 2|0
05/31/2020|Indian Point 3|100
05/31/2020|LaSalle 1|100
05/31/2020|LaSalle 2|100
05/31/2020|Limerick 1|100
05/31/2020|Limerick 2|100
05/31/2020|McGuire 1|100
05/31/2020|McGuire 2|100
05/31/2020|Millstone 2|0
05/31/2020|Millstone 3|100
05/31/2020|Monticello|100
05/31/2020|Nine Mile Point 1|100
05/31/2020|Nine Mile Point 2|100
05/31/2020|North Anna 1|100
05/31/2020|North Anna 2|99
05/31/2020|Oconee 1|100
05/31/2020|Oconee 2|100
05/31/2020|Oconee 3|100
05/31/2020|Palisades|100
05/31/2020|Palo Verde 1|100
05/31/2020|Palo Verde 2|100
05/31/2020|Palo Verde 3|100
05/31/2020|Peach Bottom 2|100
05/31/2020|Peach Bottom 3|100
05/31/2020|Perry 1|100
05/31/2020|Point Beach 1|100
05/31/2020|Point Beach 2|100
05/31/2020|Prairie Island 1|100
05/31/2020|Prairie Island 2|100
05/31/2020|Quad Cities 1|80
05/31/2020|Quad Cities 2|100
05/31/2020|River Bend Station 1|100
05/31/2020|Robinson 2|100
05/31/2020|Saint Lucie 1|100
05/31/2020|Saint Lucie 2|100
05/31/2020|Salem 1|100
05/31/2020|Salem 2|100
05/31/2020|Seabrook 1|0
05/31/2020|Sequoyah 1|100
05/31/2020|Sequoyah 2|100
05/31/2020|South Texas 1|100
05/31/2020|South Texas 2|100
05/31/2020|Summer|100
05/31/2020|Surry 1|100
05/31/2020|Surry 2|0
05/31/2020|Susquehanna 1|98
05/31/2020|Susquehanna 2|99
05/31/2020|Three Mile Island 1|0
05/31/2020|Turkey Point 3|100
05/31/2020|Turkey Point 4|100
05/31/2020|Vogtle 1|100
05/31/2020|Vogtle 2|100
05/31/2020|Waterford 3|100
05/31/2020|Watts Bar 1|0
05/31/2020|Watts Bar 2|0
05/31/2020|Wolf Creek 1|100
05/30/2020|Arkansas Nuclear 1|100
05/30/2020|Arkansas Nuclear 2|100
05/30/2020|Beaver Valley 1|100
05/30/2020|Beaver Valley 2|100
05/30/2020|Braidwood 1|100
05/30/2020|Braidwood 2|100
05/30/2020|Browns Ferry 1|100
05/30/2020|Browns Ferry 2|87
05/30/2020|Browns Ferry 3|100
05/30/2020|Brunswick 1|100
05/30/2020|Brunswick 2|70
05/30/2020|Byron 1|100
05/30/2020|Byron 2|100
05/30/2020|Callaway|100
05/30/2020|Calvert Cliffs 1|100
05/30/2020|Calvert Cliffs 2|100
05/30/2020|Catawba 1|0
05/30/2020|Catawba 2|100
05/30/2020|Clinton|99
05/30/2020|Columbia Generating Station|100
05/30/2020|Comanche Peak 1|100
05/30/2020|Comanche Peak 2|100
05/30/2020|Cooper|70
05/30/2020|D.C. Cook 1|100
05/30/2020|D.C. Cook 2|100
05/30/2020|Davis-Besse|100
05/30/2020|Diablo Canyon 1|100
05/30/2020|Diablo Canyon 2|100
05/30/2020|Dresden 2|100
05/30/2020|Dresden 3|100
05/30/2020|Duane Arnold|70
05/30/2020|Farley 1|100
05/30/2020|Farley 2|100
05/30/2020|Fermi 2|0
05/30/2020|FitzPatrick|100
05/30/2020|Ginna|100
05/30/2020|Grand Gulf 1|0
05/30/2020|Harris 1|100
05/30/2020|Hatch 1|100
05/30/2020|Hatch 2|100
05/30/2020|Hope Creek 1|100
05/30/2020|Indian Point 2|0
05/30/2020|Indian Point 3|100
05/30/2020|LaSalle 1|100
05/30/2020|LaSalle 2|100
05/30/2020|Limerick 1|100
05/30/2020|Limerick 2|100
05/30/2020|McGuire 1|100
05/30/2020|McGuire 2|100
05/30/2020|Millstone 2|0
05/30/2020|Millstone 3|100
05/30/2020|Monticello|100
05/30/2020|Nine Mile Point 1|100
05/30/2020|Nine Mile Point 2|100
05/30/2020|North Anna 1|100
05/30/2020|North Anna 2|99
05/30/2020|Oconee 1|100
05/30/2020|Oconee 2|100
05/30/2020|Oconee 3|100
05/30/2020|Palisades|100
05/30/2020|Palo Verde 1|100
05/30/2020|Palo Verde 2|100
05/30/2020|Palo Verde 3|100
05/30/2020|Peach Bottom 2|100
05/30/2020|Peach Bottom 3|100
05/30/2020|Perry 1|100
05/30/2020|Point Beach 1|100
05/30/2020|Point Beach 2|100
05/30/2020|Prairie Island 1|100
05/30/2020|Prairie Island 2|100
05/30/2020|Quad Cities 1|100
05/30/2020|Quad Cities 2|100
05/30/2020|River Bend Station 1|100
05/30/2020|Robinson 2|100
05/30/2020|Saint Lucie 1|100
05/30/2020|Saint Lucie 2|100
05/30/2020|Salem 1|100
05/30/2020|Salem 2|100
05/30/2020|Seabrook 1|0
05/30/2020|Sequoyah 1|100
05/30/2020|Sequoyah 2|100
05/30/2020|South Texas 1|100
05/30/2020|South Texas 2|100
05/30/2020|Summer|100
05/30/2020|Surry 1|100
05/30/2020|Surry 2|0
05/30/2020|Susquehanna 1|99
05/30/2020|Susquehanna 2|98
05/30/2020|Three Mile Island 1|0
05/30/2020|Turkey Point 3|100
05/30/2020|Turkey Point 4|100
05/30/2020|Vogtle 1|100
05/30/2020|Vogtle 2|94
05/30/2020|Waterford 3|100
05/30/2020|Watts Bar 1|0
05/30/2020|Watts Bar 2|0
05/30/2020|Wolf Creek 1|100
05/29/2020|Arkansas Nuclear 1|100
05/29/2020|Arkansas Nuclear 2|100
05/29/2020|Beaver Valley 1|100
05/29/2020|Beaver Valley 2|100
05/29/2020|Braidwood 1|100
05/29/2020|Braidwood 2|100
05/29/2020|Browns Ferry 1|100
05/29/2020|Browns Ferry 2|87
05/29/2020|Browns Ferry 3|100
05/29/2020|Brunswick 1|100
05/29/2020|Brunswick 2|100
05/29/2020|Byron 1|100
05/29/2020|Byron 2|100
05/29/2020|Callaway|100
05/29/2020|Calvert Cliffs 1|100
05/29/2020|Calvert Cliffs 2|100
05/29/2020|Catawba 1|0
05/29/2020|Catawba 2|100
05/29/2020|Clinton|99
05/29/2020|Columbia Generating Station|100
05/29/2020|Comanche Peak 1|100
05/29/2020|Comanche Peak 2|100
05/29/2020|Cooper|98
05/29/2020|D.C. Cook 1|100
05/29/2020|D.C. Cook 2|100
05/29/2020|Davis-Besse|100
05/29/2020|Diablo Canyon 1|100
05/29/2020|Diablo Canyon 2|100
05/29/2020|Dresden 2|100
05/29/2020|Dresden 3|100
05/29/2020|Duane Arnold|70
05/29/2020|Farley 1|100
05/29/2020|Farley 2|100
05/29/2020|Fermi 2|0
05/29/2020|FitzPatrick|100
05/29/2020|Ginna|97
05/29/2020|Grand Gulf 1|0
05/29/2020|Harris 1|100
05/29/2020|Hatch 1|100
05/29/2020|Hatch 2|100
05/29/2020|Hope Creek 1|100
05/29/2020|Indian Point 2|0
05/29/2020|Indian Point 3|100
05/29/2020|LaSalle 1|100
05/29/2020|LaSalle 2|100
05/29/2020|Limerick 1|100
05/29/2020|Limerick 2|100
05/29/2020|McGuire 1|100
05/29/2020|McGuire 2|100
05/29/2020|Millstone 2|0
05/29/2020|Millstone 3|100
05/29/2020|Monticello|100
05/29/2020|Nine Mile Point 1|100
05/29/2020|Nine Mile Point 2|100
05/29/2020|North Anna 1|99
05/29/2020|North Anna 2|99
05/29/2020|Oconee 1|100
05/29/2020|Oconee 2|100
05/29/2020|Oconee 3|100
05/29/2020|Palisades|100
05/29/2020|Palo Verde 1|100
05/29/2020|Palo Verde 2|100
05/29/2020|Palo Verde 3|100
05/29/2020|Peach Bottom 2|30
05/29/2020|Peach Bottom 3|100
05/29/2020|Perry 1|100
05/29/2020|Point Beach 1|100
05/29/2020|Point Beach 2|100
05/29/2020|Prairie Island 1|100
05/29/2020|Prairie Island 2|78
05/29/2020|Quad Cities 1|100
05/29/2020|Quad Cities 2|87
05/29/2020|River Bend Station 1|100
05/29/2020|Robinson 2|100
05/29/2020|Saint Lucie 1|100
05/29/2020|Saint Lucie 2|100
05/29/2020|Salem 1|100
05/29/2020|Salem 2|100
05/29/2020|Seabrook 1|0
05/29/2020|Sequoyah 1|100
05/29/2020|Sequoyah 2|100
05/29/2020|South Texas 1|100
05/29/2020|South Texas 2|100
05/29/2020|Summer|100
05/29/2020|Surry 1|100
05/29/2020|Surry 2|0
05/29/2020|Susquehanna 1|99
05/29/2020|Susquehanna 2|98
05/29/2020|Three Mile Island 1|0
05/29/2020|Turkey Point 3|100
05/29/2020|Turkey Point 4|100
05/29/2020|Vogtle 1|100
05/29/2020|Vogtle 2|100
05/29/2020|Waterford 3|100
05/29/2020|Watts Bar 1|0
05/29/2020|Watts Bar 2|0
05/29/2020|Wolf Creek 1|100
05/28/2020|Arkansas Nuclear 1|100
05/28/2020|Arkansas Nuclear 2|100
05/28/2020|Beaver Valley 1|100
05/28/2020|Beaver Valley 2|100
05/28/2020|Braidwood 1|100
05/28/2020|Braidwood 2|100
05/28/2020|Browns Ferry 1|100
05/28/2020|Browns Ferry 2|87
05/28/2020|Browns Ferry 3|100
05/28/2020|Brunswick 1|100
05/28/2020|Brunswick 2|100
05/28/2020|Byron 1|100
05/28/2020|Byron 2|100
05/28/2020|Callaway|100
05/28/2020|Calvert Cliffs 1|100
05/28/2020|Calvert Cliffs 2|100
05/28/2020|Catawba 1|0
05/28/2020|Catawba 2|100
05/28/2020|Clinton|99
05/28/2020|Columbia Generating Station|100
05/28/2020|Comanche Peak 1|100
05/28/2020|Comanche Peak 2|100
05/28/2020|Cooper|98
05/28/2020|D.C. Cook 1|100
05/28/2020|D.C. Cook 2|100
05/28/2020|Davis-Besse|100
05/28/2020|Diablo Canyon 1|100
05/28/2020|Diablo Canyon 2|100
05/28/2020|Dresden 2|100
05/28/2020|Dresden 3|100
05/28/2020|Duane Arnold|70
05/28/2020|Farley 1|100
05/28/2020|Farley 2|100
05/28/2020|Fermi 2|0
05/28/2020|FitzPatrick|100
05/28/2020|Ginna|75
